date,uyear,umonth,uday,week,weekday,date_type,is_workday
2023-06-07,2023,6,7,23,3,工作日,1
2023-06-08,2023,6,8,23,4,工作日,1
2023-06-09,2023,6,9,23,5,工作日,1
2023-06-10,2023,6,10,23,6,周末,0
2023-06-11,2023,6,11,23,7,周末,0
2023-06-12,2023,6,12,24,1,工作日,1
2023-06-13,2023,6,13,24,2,工作日,1
2023-06-14,2023,6,14,24,3,工作日,1
2023-06-15,2023,6,15,24,4,工作日,1
2023-06-16,2023,6,16,24,5,工作日,1
2023-06-17,2023,6,17,24,6,周末,0
2023-06-18,2023,6,18,24,7,周末,0
2023-06-19,2023,6,19,25,1,工作日,1
2023-06-20,2023,6,20,25,2,工作日,1
2023-06-21,2023,6,21,25,3,工作日,1
2023-06-22,2023,6,22,25,4,端午节,0
2023-06-23,2023,6,23,25,5,端午节,0
2023-06-24,2023,6,24,25,6,端午节,0
2023-06-25,2023,6,25,25,7,法定上班,1
2023-06-26,2023,6,26,26,1,工作日,1
2023-06-27,2023,6,27,26,2,工作日,1
2023-06-28,2023,6,28,26,3,工作日,1
2023-06-29,2023,6,29,26,4,工作日,1
2023-06-30,2023,6,30,26,5,工作日,1
2023-07-01,2023,7,1,26,6,周末,0
2023-07-02,2023,7,2,26,7,周末,0
2023-07-03,2023,7,3,27,1,工作日,1
2023-07-04,2023,7,4,27,2,工作日,1
2023-07-05,2023,7,5,27,3,工作日,1
2023-07-06,2023,7,6,27,4,工作日,1
2023-07-07,2023,7,7,27,5,工作日,1
2023-07-08,2023,7,8,27,6,周末,0
2023-07-09,2023,7,9,27,7,周末,0
2023-07-10,2023,7,10,28,1,工作日,1
2023-07-11,2023,7,11,28,2,工作日,1
2023-07-12,2023,7,12,28,3,工作日,1
2023-07-13,2023,7,13,28,4,工作日,1
2023-07-14,2023,7,14,28,5,工作日,1
2023-07-15,2023,7,15,28,6,周末,0
2023-07-16,2023,7,16,28,7,周末,0
2023-07-17,2023,7,17,29,1,工作日,1
